id,title,status,scope,based_on,reference_variant,ablation_summary,run_count,latest_run,best_variant,delta_brier,decision,selected_variant,updated_at_utc,study_config
EXP_001,RandomForest와 CatBoost 모델군 비교,decided,model,BASELINE_001_main55,random_forest_raw47,제공 raw47을 고정하고 RandomForest 대비 CatBoost 모델군 변경 효과를 검증,1,RUN_001,catboost_raw47,-0.0006960696405035,adopt,catboost_raw47,2026-08-17T15:11:52.339000+00:00,experiments/EXP_001/study.toml
EXP_002,main55 피처 출처별 ablation,decided,features,BASELINE_001_main55,main55_control,main55 대비 달력·상태·context 피처 묶음을 각각 제거해 기여도를 검증,1,RUN_001,drop_state,-9.857927747297657e-06,keep_control,main55_control,2026-08-17T15:11:53.034466+00:00,experiments/EXP_002/study.toml
EXP_003,행 단위 파생 피처 14개 효과,decided,features,EXP_002,selected41_control,EXP_002의 main55를 선택 제공 41개와 custom14로 분해해 custom14의 순수 추가 효과를 검증,1,RUN_001,add_custom14,-0.0001136094127595,adopt,add_custom14,2026-08-17T15:11:53.756704+00:00,experiments/EXP_003/study.toml
EXP_004,CatBoost 네이티브 범주 처리,decided,model,EXP_003,main55_control,main55와 CatBoost 파라미터를 고정하고 범주 전처리만 ordinal encoding에서 CatBoost native categorical로 변경,1,RUN_001,native_basic,-1.4186879985916834e-05,adopt,native_basic,2026-08-17T15:38:52.981120+00:00,experiments/EXP_004/study.toml
EXP_005,CatBoost 범주 컬럼 범위,decided,features,EXP_004,native_basic,"CatBoost native 모델을 고정하고 범주로 지정하는 컬럼 범위만 basic3, 선수 ID, 선수·팀·손, 전체 이산으로 확대",1,RUN_001,basic3_control,0.0,keep_control,basic3_control,2026-08-17T15:43:24.215769+00:00,experiments/EXP_005/study.toml
EXP_006,CatBoost 깊이와 반복 수 탐색,decided,model,EXP_004,native_basic,main55와 native 기본 3개 범주를 고정하고 CatBoost depth와 iterations 조합만 변경,1,RUN_001,d6_i300_control,0.0,keep_control,d6_i300_control,2026-08-17T15:54:17.092789+00:00,experiments/EXP_006/study.toml
EXP_007,부스팅 모델군 비교,decided,model,EXP_006,d6_i300_control,"main55를 고정하고 CatBoost, LightGBM, XGBoost 모델군과 대표 복잡도만 비교",1,RUN_001,catboost_control,0.0,keep_control,catboost_control,2026-08-17T15:57:40.342666+00:00,experiments/EXP_007/study.toml
EXP_008,EDA 제안 피처 묶음 비교,decided,features,EXP_007,catboost_control,"native CatBoost를 고정하고 EDA 제안 피처를 결측, 스무딩, 경기 맥락, 카운트 묶음별로 각각 추가",1,RUN_001,add_count_state,-4.112762044308771e-05,adopt,add_count_state,2026-08-17T16:01:00.389436+00:00,experiments/EXP_008/study.toml
EXP_009,EDA 개선 피처 조합,decided,features,EXP_008,add_count_state,main55+count를 기준으로 스무딩과 결측 플래그의 pairwise 및 전체 조합 효과를 비교,1,RUN_001,count_control,0.0,keep_control,count_control,2026-08-17T16:07:27.376504+00:00,experiments/EXP_009/study.toml
EXP_010,직전 시즌 타깃 이력 피처,decided,features,EXP_009,main55_control,"main55를 기준으로 누수 없는 시즌 전체 prior, 직전 시즌 투수, 투수·타자, 선수·팀 타깃 이력을 단계적으로 추가",1,RUN_001,main55_control,0.0,keep_control,main55_control,2026-08-17T16:12:04.125094+00:00,experiments/EXP_010/study.toml
